% 1. Title: Gender Text Database 
@RELATION genderText

@ATTRIBUTE	and	NUMERIC
@ATTRIBUTE	a	NUMERIC
@ATTRIBUTE	of	NUMERIC
@ATTRIBUTE	to	NUMERIC
@ATTRIBUTE	the	NUMERIC
@ATTRIBUTE	gender	{male,female}

@DATA
1.7,2.34,1.91,4.04,6.81,female
2.2,3.37,2.85,1.94,5.44,male
2.32,3.83,1.78,1.23,3.55,male
2.84,2.24,2.33,2.33,4.22,female
2.34,2.6,3.51,2.34,6.49,male
1.81,2.56,1.62,2.81,3.43,male
6.12,1.02,1.02,2.04,5.1,female
3.55,1.66,4.5,1.18,6.87,male
0.9,0.9,1.8,3.6,7.21,female
2.84,2.58,1.42,2.32,4.51,male
2.33,1.86,2.02,2.56,2.17,male
1.45,1.94,2.54,2.18,6.42,male
2.14,3.42,2.28,3.85,6.84,female
1.67,2.93,0.94,2.2,4.39,female
3.14,2.62,3.4,3.4,5.76,female
1.68,4.4,1.57,2.41,3.56,female
3.46,1.52,2.38,3.03,6.6,female
1.8,3.0,1.95,2.4,5.41,male
1.35,2.47,2.92,2.02,6.29,female
2.5,1.25,2.03,3.13,7.5,female
3.23,2.52,3.37,1.82,7.01,male
1.48,1.97,2.63,2.13,5.42,female
3.84,1.07,3.42,2.99,5.87,male
2.32,2.97,2.85,3.62,3.5,male
2.73,2.73,1.82,2.73,2.95,female
1.49,0.99,0.99,1.98,1.98,male
3.02,0.94,2.08,3.02,6.79,female
4.08,3.65,2.15,1.72,4.72,male
1.88,2.48,2.65,2.22,4.1,female
1.92,2.72,2.32,2.0,4.64,male
3.3,1.36,2.72,2.52,6.21,male
4.29,3.18,2.07,2.86,5.41,male
2.02,2.41,1.37,1.83,4.17,male
2.2,2.2,2.2,5.66,3.46,male
3.85,2.26,2.71,2.38,5.43,female
1.26,1.26,3.05,2.87,4.67,female
1.85,1.28,3.84,3.98,6.83,female
2.45,1.7,3.02,3.77,7.74,female
2.66,1.27,2.78,2.78,5.09,male
2.59,2.35,2.35,2.71,4.82,female
3.59,2.58,2.02,2.02,4.6,male
1.81,2.93,2.26,2.03,6.09,male
2.88,3.3,2.4,2.82,4.58,male
2.07,1.33,1.93,2.22,6.52,female
1.7,1.7,1.14,3.98,6.82,female
4.07,1.56,1.88,3.29,5.01,female
3.54,1.52,4.8,2.27,8.33,female
3.19,1.99,3.45,1.73,4.91,male
3.23,2.13,1.17,4.04,3.38,male
1.13,3.39,2.74,3.23,8.06,female
3.77,2.29,1.89,2.83,6.33,female
3.15,3.28,1.71,1.31,4.86,male
2.55,1.09,1.73,2.91,4.64,female
2.53,1.41,3.23,2.67,6.33,female
3.56,2.33,2.2,2.38,5.59,male
1.91,2.11,1.51,2.11,5.03,female
3.09,2.7,1.88,3.19,3.94,male
1.83,1.52,2.74,3.66,6.1,female
2.58,2.86,2.42,2.53,4.12,male
1.75,2.76,1.59,2.51,4.34,female
1.94,1.08,4.09,3.23,6.9,female
1.64,4.38,1.23,2.19,4.65,male
3.23,2.28,2.28,3.04,6.84,female
1.97,3.3,1.49,2.52,3.38,female
3.07,1.87,1.87,2.01,4.68,male
2.8,2.69,1.72,2.26,6.25,male
0.88,1.75,2.19,2.63,7.46,female
2.6,2.31,1.73,2.31,6.07,female
4.18,1.77,2.26,2.48,4.1,male
2.6,2.48,1.47,3.3,2.71,male
0.94,2.25,1.12,3.0,5.62,male
3.23,2.15,2.42,2.42,5.65,female
2.1,1.35,2.7,2.4,9.46,male
3.9,1.74,2.17,3.25,3.69,female
3.14,1.48,1.85,3.32,6.09,female
2.63,4.61,2.63,3.29,5.26,female
3.15,2.28,2.71,2.71,4.99,male
2.27,2.09,2.44,2.97,4.36,female
2.07,1.45,1.66,4.97,4.14,male
1.96,2.61,2.93,2.28,4.89,female
2.12,3.19,2.48,3.36,5.13,male
2.67,3.39,2.32,3.92,4.81,female
2.09,1.4,2.44,2.27,4.89,female
1.62,1.39,3.23,1.62,8.31,female
3.04,2.43,3.24,3.64,6.88,female
1.52,4.37,1.73,1.02,4.37,female
3.32,2.36,2.47,2.36,3.75,male
2.7,1.47,2.7,1.72,8.09,male
2.52,2.52,1.43,1.77,4.42,male
3.72,1.35,1.69,4.57,3.38,female
1.94,2.46,3.52,2.64,7.92,female
2.65,1.76,3.2,3.42,6.62,female
2.05,1.64,2.46,4.72,5.34,female
2.59,3.2,3.03,2.59,6.66,male
1.9,1.9,2.86,3.33,4.29,male
3.45,2.2,2.09,2.51,4.29,male
1.55,0.97,2.91,2.52,5.83,female
2.18,1.87,2.8,1.76,3.84,female
2.98,3.46,1.65,2.93,3.36,male
2.11,4.74,2.89,2.37,5.26,female
2.37,2.85,2.37,3.01,5.06,female
2.2,3.03,2.2,3.11,3.03,male
2.15,1.55,1.81,1.98,6.54,female
2.84,2.66,2.75,1.65,4.31,male
2.53,3.04,2.66,2.91,4.3,female
2.57,2.35,1.9,3.58,4.36,female
3.04,2.82,2.71,2.25,5.75,male
1.78,2.87,0.79,2.48,3.66,female
2.28,2.17,2.49,2.49,5.42,male
3.62,1.45,3.25,2.53,6.15,female
1.76,2.02,2.52,3.78,7.05,female
3.24,4.48,2.31,1.23,6.79,male
2.06,2.75,1.87,1.47,5.7,female
3.55,2.69,2.44,4.28,4.03,female
2.29,2.34,3.79,1.73,4.96,male
2.74,3.02,1.28,2.83,3.66,male
2.63,3.18,1.94,3.25,4.96,male
3.24,1.72,3.34,2.63,6.98,male
1.85,2.38,2.12,3.97,1.59,female
2.89,2.13,2.43,3.34,5.02,female
0.0,2.58,3.86,1.29,8.58,female
3.95,2.2,2.32,2.39,4.58,male
3.96,1.76,1.32,3.08,6.17,female
2.61,1.95,2.28,4.23,6.51,female
1.72,5.73,1.43,2.01,2.87,female
3.23,3.43,1.78,1.98,4.16,male
2.43,2.73,2.73,3.79,5.92,male
4.4,4.05,3.52,1.76,5.81,male
3.17,2.16,1.93,3.94,6.03,male
2.19,2.63,3.21,2.04,5.84,male
2.44,2.08,4.15,1.59,7.45,male
3.6,2.7,2.25,2.7,4.5,female
3.38,3.17,2.33,3.45,3.1,male
3.86,1.45,3.01,3.86,5.42,male
2.28,1.63,3.26,1.63,5.21,female
1.72,2.33,1.96,3.06,5.64,male
2.63,1.91,3.83,2.87,5.74,female
3.76,3.5,1.62,3.33,4.02,male
2.41,3.31,1.96,2.86,2.8,male
2.67,2.67,2.5,3.39,6.77,male
2.56,3.01,2.11,2.11,4.06,male
2.6,3.58,2.44,1.95,3.9,male
4.13,2.33,2.71,2.09,5.04,male
3.41,1.59,3.18,3.64,5.23,female
2.66,1.99,3.77,2.44,7.09,female
1.59,1.98,3.17,3.57,5.16,male
2.52,4.43,1.56,2.17,3.99,female
2.15,3.05,2.24,2.87,3.95,male
2.76,1.61,2.76,3.69,3.92,female
4.21,0.65,1.94,2.91,5.83,female
2.9,3.73,3.11,3.52,4.55,female
3.28,2.92,3.53,1.82,6.33,female
2.59,2.41,2.78,2.31,4.44,female
2.49,1.8,3.18,2.49,5.53,female
3.14,2.15,1.82,3.47,4.79,female
0.93,2.8,3.11,3.11,6.83,male
2.13,3.88,3.1,1.94,7.75,male
2.7,3.98,3.86,2.7,7.58,male
2.58,2.68,2.21,3.16,3.32,male
3.28,3.49,2.12,4.23,3.39,female
2.49,2.91,2.39,2.91,6.33,male
3.12,2.6,4.94,2.47,5.06,male
3.12,1.91,2.01,3.52,4.02,female
0.67,2.69,2.02,4.71,4.38,male
2.45,1.59,1.88,2.89,4.47,female
3.74,2.11,2.49,2.4,6.14,male
4.1,1.42,1.74,2.37,5.99,female
1.28,3.83,1.82,2.01,3.83,male
3.93,1.49,2.99,1.63,6.65,male
1.91,1.77,2.73,2.32,6.14,male
2.0,3.87,1.75,1.12,3.0,male
2.82,3.18,2.75,1.62,5.29,male
3.37,1.44,2.12,3.17,6.15,male
5.22,1.57,2.82,3.87,5.43,male
3.4,1.57,2.4,2.98,6.63,female
2.63,0.82,4.28,1.81,4.11,male
1.81,0.6,1.81,3.63,6.34,female
3.87,1.45,2.26,4.52,7.58,female
2.56,3.59,1.03,1.67,4.36,male
2.05,2.65,2.22,1.45,3.75,female
1.59,2.79,1.79,2.29,4.38,female
2.68,2.38,1.79,3.28,5.07,male
2.41,0.9,2.71,3.16,7.22,female
3.29,2.56,4.39,2.74,7.68,female
1.85,2.04,4.26,1.67,7.22,male
3.69,1.43,2.62,2.74,6.32,female
2.32,3.04,3.69,3.84,3.91,male
1.54,2.24,2.47,2.16,5.86,female
3.41,2.06,1.89,3.32,4.22,male
1.83,3.66,2.09,2.36,4.19,female
2.82,1.08,2.82,2.06,6.51,male
2.24,2.35,1.92,1.81,4.37,female
2.29,2.74,5.34,2.9,9.3,male
1.32,1.98,3.3,0.66,6.27,female
2.89,2.89,1.88,3.32,2.17,male
2.27,3.41,2.27,2.27,5.68,female
3.44,1.54,2.54,2.45,5.71,male
2.49,2.26,3.39,4.52,5.43,female
1.83,2.01,2.56,3.11,5.12,female
1.5,2.86,2.59,0.95,5.44,male
2.08,2.65,3.78,2.08,4.16,female
2.63,1.26,2.31,1.89,4.84,female
1.97,1.44,2.23,4.06,5.24,female
1.38,1.73,2.42,2.42,5.54,male
2.03,1.61,2.78,2.57,5.57,male
2.44,3.48,1.86,2.9,4.99,male
2.03,2.81,1.45,2.52,4.36,female
3.92,3.07,1.53,1.87,3.92,female
1.62,3.41,2.6,3.9,6.66,male
1.7,2.6,2.35,3.0,4.46,female
2.85,1.07,3.21,2.85,4.63,female
2.42,2.25,2.42,2.77,3.81,female
1.49,2.23,4.22,2.48,5.71,female
1.99,2.36,4.34,1.61,4.71,female
2.06,3.18,2.06,4.11,5.61,female
2.73,2.44,1.27,2.24,5.76,male
3.44,1.96,2.21,2.58,6.5,female
2.9,3.34,3.67,2.0,5.57,male
1.84,1.84,4.24,2.21,4.79,male
1.96,1.68,3.08,2.52,4.2,female
4.0,2.62,2.75,1.62,4.37,male
2.05,1.93,2.05,3.98,5.46,female
2.34,1.52,2.93,2.46,7.03,female
3.05,1.67,2.16,2.65,5.01,male
2.0,2.2,2.2,3.21,2.0,female
3.49,1.31,2.91,1.31,8.73,male
2.34,2.23,2.46,2.81,5.16,male
2.01,2.68,3.48,3.48,4.42,female
2.06,3.29,2.06,2.06,4.12,male
3.03,3.86,1.66,3.17,5.66,female
2.7,1.51,2.16,3.03,6.38,male
2.23,2.39,1.83,2.39,4.06,female
4.09,2.29,1.97,2.57,4.59,male
2.58,2.81,2.14,2.88,4.06,male
3.53,3.72,1.67,2.23,4.74,male
3.05,2.69,1.8,4.13,3.59,female
2.04,3.3,3.46,3.14,8.33,female
1.66,2.08,1.46,3.33,3.74,female
2.59,2.52,1.63,2.59,3.41,male
3.16,1.84,1.58,3.69,2.11,female
1.43,2.48,2.48,2.1,7.73,male
3.95,2.15,2.51,2.69,5.92,female
2.56,2.67,3.11,1.89,7.0,male
3.63,2.57,3.93,1.21,6.65,male
2.26,1.28,2.76,3.94,5.81,female
1.52,1.83,2.44,1.22,6.4,male
2.29,1.47,3.59,3.27,5.88,female
3.71,2.84,1.31,1.97,3.49,female
3.14,2.34,1.65,3.08,3.46,male
1.23,2.58,2.47,2.58,5.61,male
3.8,2.91,3.02,3.47,6.26,female
1.3,3.43,1.66,1.78,4.97,male
4.16,1.45,2.08,1.9,4.88,female
2.12,2.92,2.07,3.4,3.4,male
2.8,2.4,2.7,4.7,4.4,male
2.38,3.57,1.98,2.78,3.57,male
2.83,1.1,2.36,2.67,3.77,female
2.55,2.62,1.35,2.48,3.76,male
1.58,3.34,2.46,2.81,3.51,male
2.27,1.62,2.27,5.5,3.56,male
1.45,4.47,1.58,1.58,4.08,male
1.7,3.05,3.39,1.24,7.47,male
2.44,3.09,1.87,1.94,3.95,male
1.71,2.16,2.62,2.28,6.83,male
1.66,1.98,2.29,3.33,5.09,female
1.86,2.02,2.59,2.27,8.09,female
3.67,2.64,3.9,3.1,4.93,female
2.6,1.69,2.14,3.72,6.32,male
3.88,2.17,2.84,2.17,5.3,male
3.96,1.61,3.83,1.98,5.93,male
2.7,3.25,2.46,2.54,4.13,male
2.5,0.71,2.68,2.32,6.79,male
0.92,1.54,2.15,5.23,5.54,male
2.71,1.36,3.62,0.9,5.43,male
2.03,2.96,2.18,2.96,4.99,female
2.88,2.76,2.16,2.16,5.04,male
2.16,3.51,2.43,2.74,2.97,male
1.04,3.55,2.07,2.66,4.14,male
1.69,2.39,3.66,1.97,4.79,male
1.39,3.6,3.32,4.43,4.99,female
2.03,4.79,2.61,1.31,4.79,male
2.47,2.3,1.94,3.0,4.95,female
1.48,2.71,2.59,1.23,6.03,male
3.22,2.43,3.39,2.09,5.13,male
2.57,1.58,2.77,2.97,8.51,male
2.22,3.44,1.22,2.98,3.29,male
2.27,1.84,1.98,2.69,5.38,female
5.19,2.96,2.22,2.96,8.15,female
2.84,2.13,2.13,2.56,7.11,male
2.85,1.9,2.94,2.42,6.57,male
3.14,1.57,2.44,2.62,7.33,female
1.96,2.75,3.53,2.75,5.1,female
3.02,2.32,2.55,2.09,6.38,male
3.1,2.17,2.11,2.67,3.91,male
2.1,2.95,2.1,1.9,3.43,female
3.14,2.57,2.38,3.43,3.14,male
2.17,2.54,1.6,3.39,4.52,female
3.53,2.58,2.04,1.77,5.57,male
2.67,3.11,2.67,2.67,4.44,female
3.96,2.53,2.42,2.09,5.38,male
2.77,1.63,3.58,3.42,6.19,female
1.89,1.89,3.14,3.14,5.66,female
2.66,3.06,1.93,2.46,3.93,male
1.37,3.38,1.77,2.42,4.27,female
0.66,2.65,1.66,2.65,4.97,male
2.11,3.96,1.91,4.77,3.96,male
1.92,3.01,3.01,1.64,4.11,female
2.66,3.23,4.03,1.53,5.24,male
2.51,2.77,1.32,3.69,3.43,male
2.35,1.47,2.35,4.11,4.4,male
3.32,2.37,2.53,2.69,9.64,female
3.26,1.92,1.82,3.36,3.16,male
4.09,1.36,3.5,3.5,4.47,female
3.04,1.74,0.87,4.78,5.22,female
4.07,2.4,3.05,2.32,5.95,male
0.0,0.0,0.0,0.0,0.0,female
2.57,2.83,3.98,2.44,6.43,female
1.76,3.69,3.37,2.88,4.01,female
0.0,3.26,2.17,4.35,3.26,female
1.32,2.63,2.19,2.63,5.26,male
2.54,1.62,1.62,1.85,6.47,female
2.13,2.59,2.78,2.13,5.0,female
2.41,0.66,1.54,4.39,6.36,male
3.86,1.69,2.78,2.29,4.83,female
3.55,1.84,3.55,3.3,5.63,male
2.07,3.93,2.69,1.45,6.42,male
2.02,2.7,2.96,1.48,6.87,male
3.27,2.36,1.38,2.79,3.14,male
2.92,3.21,3.79,2.04,7.0,male
2.19,4.05,3.88,1.69,4.72,male
2.86,1.07,1.43,2.86,7.14,female
2.84,1.7,1.7,3.41,5.68,male
3.58,1.79,2.34,3.31,4.68,female
1.5,2.28,2.28,2.5,4.07,female
1.9,2.33,2.62,2.33,5.1,male
2.53,1.56,2.34,2.14,4.68,female
3.07,3.28,4.51,2.66,6.56,female
2.36,3.47,1.53,1.66,4.16,male
3.21,2.28,1.24,3.63,1.76,male
2.63,1.96,1.71,3.06,4.58,male
2.38,2.94,2.04,1.7,4.3,male
2.59,1.96,2.17,2.69,4.45,male
1.57,2.09,2.62,2.23,5.76,male
2.58,1.94,2.42,1.78,7.27,male
0.0,5.26,0.0,5.26,5.26,male
3.14,0.79,4.09,2.99,6.6,female
3.72,3.12,2.06,2.21,3.37,male
2.43,2.59,3.07,2.1,5.83,female
3.7,1.44,1.54,2.47,5.55,male
1.42,1.89,2.84,3.55,3.78,female
1.74,2.32,1.74,2.9,6.38,male
1.63,2.45,1.43,2.14,4.18,female
3.7,2.47,3.16,2.33,6.86,female
1.67,2.5,1.67,2.5,5.0,female
3.58,3.32,1.79,2.81,6.65,male
2.45,2.45,1.91,2.18,3.81,female
3.29,1.88,3.52,2.58,7.51,female
2.66,2.53,1.6,2.66,5.99,male
1.43,2.57,2.28,3.0,4.14,male
2.29,2.43,1.29,2.43,4.15,male
1.6,1.84,1.6,2.89,4.65,female
2.9,2.48,2.17,4.24,6.31,male
2.43,2.34,1.17,2.34,4.87,female
1.57,4.19,2.44,2.97,4.01,female
1.48,2.4,2.4,2.4,5.73,female
2.7,2.7,1.9,2.7,4.6,male
2.47,3.54,1.97,3.59,3.14,male
3.12,1.68,2.68,3.12,6.73,male
2.9,2.23,2.12,4.91,4.24,female
2.15,1.98,3.8,2.81,5.12,female
2.74,3.13,3.52,1.96,6.07,male
1.99,2.99,1.87,3.98,2.36,male
3.02,3.39,3.02,2.2,4.67,male
2.83,1.57,2.67,3.77,5.19,female
3.32,1.49,1.33,2.82,6.3,female
4.05,3.85,2.83,2.83,3.24,female
1.27,1.69,1.98,3.39,4.38,female
4.45,1.06,1.96,3.92,5.2,male
3.0,2.81,2.29,2.61,6.07,male
1.7,3.01,1.5,2.81,5.91,female
1.92,3.61,4.69,2.77,7.92,male
2.33,2.52,1.45,1.74,4.94,female
1.06,3.52,2.29,2.29,5.63,female
3.58,1.61,2.35,1.85,5.56,male
1.86,2.71,3.22,3.05,5.76,female
3.27,2.16,2.04,4.03,2.39,male
3.64,1.71,3.22,3.97,6.0,female
1.92,1.37,3.02,3.02,5.77,female
2.46,2.62,3.28,1.64,3.93,male
3.18,1.88,2.89,2.6,5.92,female
3.91,2.5,2.82,3.76,6.26,female
2.3,1.92,1.92,3.07,4.21,female
1.88,3.58,2.9,2.73,6.48,female
3.28,3.18,2.77,1.84,5.02,male
4.02,1.04,2.83,3.73,5.81,female
1.79,1.96,1.96,3.26,5.38,female
1.49,1.49,1.79,3.28,2.69,male
3.35,1.55,2.32,2.24,4.82,male
2.77,2.19,1.73,3.0,4.38,male
2.99,2.18,2.87,2.41,6.2,female
2.59,1.48,1.67,2.96,6.67,male
2.28,1.3,3.58,2.44,8.31,male
2.72,1.36,1.91,3.27,4.63,female
4.55,1.95,2.16,3.68,4.76,female
2.44,2.39,1.08,2.63,3.99,male
2.43,3.24,2.03,3.11,5.0,male
3.24,2.16,4.68,3.42,3.96,female
2.66,1.99,4.32,2.66,4.98,male
3.19,2.59,2.49,3.88,4.98,male
2.55,2.16,2.75,3.93,4.91,female
3.13,2.01,1.34,3.58,4.03,female
2.09,1.99,1.99,2.78,3.28,male
0.78,1.83,2.09,3.13,3.92,female
3.17,1.41,2.82,2.11,7.39,female
2.56,2.56,2.56,3.96,5.59,female
2.11,2.25,1.69,1.41,5.07,male
2.25,3.24,1.57,1.76,4.02,male
3.26,2.23,2.58,4.47,8.85,male
2.12,2.99,3.87,1.9,6.93,male
2.3,3.13,3.31,3.68,4.05,male
2.84,1.02,3.41,1.93,8.17,male
2.81,2.37,1.45,3.39,4.31,male
2.28,3.16,1.9,1.77,3.41,male
2.58,2.42,1.88,2.42,3.91,female
3.77,1.35,3.23,3.77,5.66,female
2.12,3.18,1.77,3.89,3.18,female
2.7,2.36,2.87,2.87,6.24,female
2.57,2.95,1.05,3.14,3.14,male
1.71,1.99,2.28,1.42,8.26,female
2.74,2.35,3.39,3.13,6.4,female
2.85,3.93,2.31,1.63,4.21,male
1.04,1.67,1.67,3.34,4.18,male
2.38,1.36,3.9,1.53,6.45,female
2.28,2.51,1.83,2.74,5.71,male
1.93,2.19,1.31,1.93,4.2,female
4.81,1.68,1.85,2.49,5.1,male
2.26,2.79,1.57,1.92,5.23,male
2.82,1.47,3.92,2.57,4.65,male
1.26,2.04,3.14,3.93,6.45,female
1.9,3.69,1.41,3.26,3.07,male
2.17,2.96,1.78,3.75,4.45,female
1.06,2.3,3.54,3.19,4.78,female
3.09,1.12,1.97,5.06,6.46,female
0.89,1.34,1.34,3.13,2.68,female
1.67,2.82,2.71,1.98,4.8,male
2.16,1.4,2.79,1.78,7.99,male
1.71,2.93,2.93,1.34,5.62,female
2.34,1.63,1.43,1.93,5.7,female
3.48,1.96,2.17,3.04,5.43,male
2.0,2.44,2.22,2.0,4.43,female
2.79,1.39,1.39,3.55,6.34,female
2.47,1.81,1.26,1.56,3.27,male
2.25,1.84,2.04,1.84,5.32,female
2.71,2.93,1.5,3.07,2.78,male
2.02,1.64,3.08,3.18,6.16,female
5.33,2.13,3.08,3.32,3.91,male
3.55,1.88,3.13,4.18,5.85,female
2.39,2.21,1.68,2.99,4.25,male
1.53,1.53,2.3,3.58,6.14,male
2.16,3.26,1.69,4.27,4.69,male
1.54,4.62,1.03,2.05,3.08,female
3.74,2.72,2.38,4.59,4.25,female
3.33,1.52,2.42,3.33,6.97,male
1.82,3.15,1.74,1.82,3.89,female
1.71,3.43,1.57,2.43,4.14,male
2.28,2.14,1.28,2.56,2.99,male
2.21,1.77,3.43,4.32,5.32,female
2.81,2.38,1.68,1.96,4.63,male
1.68,0.93,2.06,2.99,6.73,male
2.83,1.53,3.92,5.01,4.79,female
3.11,3.02,1.33,3.28,3.46,male
2.68,2.68,2.28,2.55,3.62,male
3.58,2.98,3.98,4.37,4.17,female
3.85,2.57,2.71,3.42,4.14,female
2.52,1.99,1.46,1.86,5.31,male
3.9,2.87,3.7,4.72,4.11,female
1.38,2.31,1.38,1.38,3.54,male
1.93,3.42,2.53,3.42,6.84,female
2.27,2.27,1.95,2.92,5.19,male
2.75,1.65,1.92,2.2,4.95,male
3.43,2.03,2.66,2.16,3.93,male
2.13,3.13,2.25,2.13,4.38,male
3.17,2.59,2.88,3.02,7.48,female
2.98,2.23,1.43,2.98,3.1,male
2.84,0.95,3.79,3.79,6.31,male
2.77,2.59,2.22,4.44,5.36,female
2.3,1.64,1.64,3.29,7.57,female
3.55,2.45,2.45,3.06,5.51,female
3.07,1.62,3.43,1.99,7.4,male
3.54,2.76,1.71,3.41,7.09,male
2.59,3.46,1.51,3.46,4.97,male
4.43,1.48,2.96,1.97,6.4,female
2.47,2.47,3.23,2.47,5.32,male
2.38,2.56,3.29,1.65,4.02,male
2.29,1.33,2.66,3.14,5.8,female
3.34,2.55,4.72,2.36,7.56,male
2.84,1.84,2.09,3.34,5.18,male
2.61,2.61,3.48,2.9,7.54,male
1.63,3.66,0.81,1.9,3.25,male
2.01,2.4,2.09,3.41,4.88,female
2.25,1.97,2.82,3.38,5.35,female
3.11,2.07,2.26,2.82,4.61,male
3.37,2.04,1.86,3.19,6.21,male
1.98,1.98,1.62,4.23,4.68,male
2.91,1.21,2.11,2.19,5.67,male
3.08,2.83,1.35,3.32,5.29,female
1.17,1.75,2.14,2.91,6.02,female
2.45,3.2,1.07,2.24,3.09,male
1.87,2.07,3.53,3.53,4.98,female
1.86,1.82,2.91,3.12,7.92,female
4.39,1.05,2.3,1.46,5.86,female
3.28,2.18,4.61,1.82,5.34,male
2.44,2.81,0.98,2.56,4.4,male
1.92,2.26,3.14,3.14,4.7,female
2.91,1.79,2.69,2.69,4.93,female
2.13,3.04,1.55,2.53,3.85,male
1.06,1.76,2.29,2.12,5.29,female
3.3,2.92,1.4,1.52,4.57,male
1.95,1.6,3.65,2.05,6.34,female
4.03,2.14,2.49,2.37,4.74,female
3.27,1.77,1.45,3.44,4.01,male
3.84,2.48,2.18,2.64,4.07,male
2.59,1.18,1.65,0.71,2.59,male
2.3,3.51,1.4,3.21,3.11,female
2.02,1.94,1.45,2.66,4.84,female
2.64,2.81,3.47,2.64,4.79,female
1.78,2.67,3.56,2.81,6.22,female
1.82,1.82,3.38,1.69,7.02,female
2.8,0.84,1.21,2.43,4.21,female
1.75,1.23,1.93,2.28,5.25,female
1.96,4.37,2.86,2.86,4.82,male
2.87,2.15,2.75,2.15,6.21,male
2.98,2.32,2.09,3.75,4.3,female
2.92,2.14,2.53,3.9,6.04,female
3.29,2.83,1.59,2.4,3.46,male
2.16,3.3,2.54,1.52,6.47,male
1.88,2.29,1.47,2.13,4.17,female
3.69,3.6,2.92,2.14,4.8,male
2.15,1.43,3.82,2.15,8.11,male
3.63,1.09,1.85,1.78,5.13,male
1.72,2.15,1.93,2.36,5.15,female
3.54,3.03,2.64,2.24,4.55,male
3.68,3.08,2.31,1.63,4.71,male
2.12,1.52,3.33,3.03,7.27,female
3.05,1.11,2.63,2.08,7.34,male
3.02,2.41,1.1,3.78,3.51,male
2.68,2.95,2.82,2.55,3.89,female
4.75,1.8,3.27,2.78,7.69,female
3.35,1.81,1.09,2.81,3.35,male
2.24,1.58,2.5,2.9,5.8,male
2.53,2.19,3.8,2.88,7.71,male
2.31,0.77,2.31,0.77,4.62,male
1.75,2.84,1.67,3.34,5.43,female
0.85,2.82,1.27,2.82,5.5,male
2.54,2.54,3.38,3.13,7.44,female
2.66,2.7,2.0,2.53,4.36,male
2.63,2.25,3.13,1.88,6.63,male
3.47,2.87,2.27,2.72,4.38,female
3.24,1.62,3.78,1.62,7.03,male
2.26,2.69,2.69,3.52,3.35,male
3.65,1.7,2.07,2.07,7.78,female
1.91,3.44,3.44,2.67,7.44,female
3.0,1.85,2.03,3.44,4.76,male
2.44,2.68,2.2,2.44,4.63,female
2.22,2.22,1.81,1.4,3.54,female
3.3,2.92,1.87,3.0,4.27,male
2.1,1.5,1.8,4.8,5.1,male
3.92,1.99,1.13,1.66,3.45,male
2.25,2.25,1.59,1.32,5.02,male
