% 1. Title: Gender Text Database 
@RELATION genderText

@ATTRIBUTE	and	NUMERIC
@ATTRIBUTE	all	NUMERIC
@ATTRIBUTE	can	NUMERIC
@ATTRIBUTE	is	NUMERIC
@ATTRIBUTE	it	NUMERIC
@ATTRIBUTE	an	NUMERIC
@ATTRIBUTE	as	NUMERIC
@ATTRIBUTE	at	NUMERIC
@ATTRIBUTE	have	NUMERIC
@ATTRIBUTE	in	NUMERIC
@ATTRIBUTE	out	NUMERIC
@ATTRIBUTE	what	NUMERIC
@ATTRIBUTE	from	NUMERIC
@ATTRIBUTE	for	NUMERIC
@ATTRIBUTE	there	NUMERIC
@ATTRIBUTE	when	NUMERIC
@ATTRIBUTE	been	NUMERIC
@ATTRIBUTE	to	NUMERIC
@ATTRIBUTE	which	NUMERIC
@ATTRIBUTE	you	NUMERIC
@ATTRIBUTE	has	NUMERIC
@ATTRIBUTE	was	NUMERIC
@ATTRIBUTE	more	NUMERIC
@ATTRIBUTE	be	NUMERIC
@ATTRIBUTE	we	NUMERIC
@ATTRIBUTE	his	NUMERIC
@ATTRIBUTE	that	NUMERIC
@ATTRIBUTE	who	NUMERIC
@ATTRIBUTE	but	NUMERIC
@ATTRIBUTE	they	NUMERIC
@ATTRIBUTE	not	NUMERIC
@ATTRIBUTE	one	NUMERIC
@ATTRIBUTE	with	NUMERIC
@ATTRIBUTE	by	NUMERIC
@ATTRIBUTE	he	NUMERIC
@ATTRIBUTE	a	NUMERIC
@ATTRIBUTE	on	NUMERIC
@ATTRIBUTE	about	NUMERIC
@ATTRIBUTE	like	NUMERIC
@ATTRIBUTE	i	NUMERIC
@ATTRIBUTE	of	NUMERIC
@ATTRIBUTE	up	NUMERIC
@ATTRIBUTE	or	NUMERIC
@ATTRIBUTE	this	NUMERIC
@ATTRIBUTE	s	NUMERIC
@ATTRIBUTE	so	NUMERIC
@ATTRIBUTE	t	NUMERIC
@ATTRIBUTE	the	NUMERIC
@ATTRIBUTE	my	NUMERIC
@ATTRIBUTE	are	NUMERIC
@ATTRIBUTE	gender	{male,female}

@DATA
2.3,0.31,0.16,0.37,3.14,0.31,0.47,0.42,1.05,1.62,0.58,0.47,0.52,0.52,0.52,0.42,0.63,2.93,0.1,1.78,0.1,0.37,0.21,0.26,0.16,0.31,1.52,0.05,0.68,0.1,0.52,0.37,0.47,0.21,0.47,2.46,0.68,0.42,1.41,5.29,1.31,0.63,0.16,0.16,3.46,1.31,0.79,2.98,1.36,0.42,male
2.31,0.0,0.14,0.72,1.16,0.14,0.58,0.87,0.0,1.59,0.29,0.58,0.29,1.45,0.0,0.14,0.43,2.89,0.14,0.58,0.14,1.01,0.29,0.14,0.14,0.72,1.73,0.58,0.87,0.87,0.58,0.29,0.87,0.43,0.58,3.47,1.01,1.59,0.29,2.02,1.73,0.58,0.0,1.45,0.58,0.29,0.43,6.21,0.0,0.14,male
0.57,0.0,0.0,1.13,0.0,0.0,0.19,0.57,0.38,3.21,0.0,0.0,1.13,0.75,0.19,0.0,0.0,4.53,0.0,0.0,0.38,0.19,0.38,0.19,0.0,0.0,2.26,0.0,0.57,0.0,0.0,0.0,0.57,0.19,0.0,1.89,1.13,0.0,0.0,0.0,2.08,0.19,0.0,0.75,1.89,0.0,0.0,6.42,0.0,0.19,male
1.42,0.79,0.63,0.47,1.26,0.31,0.94,0.16,0.63,1.42,0.0,0.0,0.47,0.94,0.47,0.16,0.31,2.36,0.16,0.47,0.31,0.47,0.47,0.94,0.79,0.94,1.73,1.42,0.47,0.47,0.63,0.16,0.79,0.94,0.31,3.46,0.47,0.31,0.16,0.31,3.46,0.47,0.31,0.47,1.26,0.31,0.47,4.72,0.0,0.79,female
2.81,0.19,0.19,0.37,1.12,0.75,0.37,1.31,0.94,1.87,0.37,0.56,0.37,0.56,0.0,0.19,0.19,3.93,0.0,0.37,0.37,1.31,0.19,0.56,0.19,0.56,1.87,0.0,0.75,0.94,0.19,1.31,0.75,0.56,1.87,2.25,0.37,0.19,0.0,0.56,1.31,0.19,0.0,0.56,1.12,0.37,1.12,5.62,0.0,0.19,female
2.37,0.32,0.63,1.03,0.95,0.32,0.32,0.39,0.79,1.81,0.16,0.32,0.24,1.5,0.39,0.47,0.24,3.0,0.16,1.1,0.32,0.79,0.08,0.71,0.95,0.0,1.89,0.32,0.32,0.79,0.24,0.63,1.18,0.39,0.08,3.23,0.71,0.32,0.87,0.32,3.79,0.47,0.08,0.47,0.39,0.32,0.39,5.13,0.16,0.16,male
2.41,0.32,0.8,0.96,1.12,0.32,0.48,0.32,0.32,1.93,0.64,0.48,0.0,2.25,0.8,0.0,0.16,4.01,0.48,2.89,0.32,0.64,0.32,0.48,0.16,0.0,0.64,0.16,0.32,0.32,0.32,0.48,1.12,0.48,0.0,2.89,0.64,0.32,0.16,0.0,2.41,0.96,0.96,0.16,1.12,0.48,0.32,3.53,0.0,0.48,female
3.27,0.45,0.45,1.04,1.49,0.3,0.15,0.0,0.74,1.49,0.0,0.0,0.45,1.49,0.74,0.0,0.3,2.83,0.0,1.34,0.74,0.45,0.15,0.89,0.45,0.15,0.74,0.3,0.3,0.74,0.6,0.0,0.3,0.45,0.6,2.98,0.74,0.74,0.3,0.6,1.34,0.45,0.45,0.15,1.49,0.6,0.3,4.91,0.15,0.6,female
3.43,0.41,0.14,0.41,0.69,0.14,0.0,0.27,0.55,1.51,0.69,0.27,0.41,0.96,0.27,0.41,0.14,2.74,0.27,0.41,0.14,0.41,0.14,0.82,2.33,0.0,2.19,0.0,0.82,0.82,0.0,0.0,0.96,0.0,0.0,3.02,0.82,0.55,0.0,0.41,2.61,0.69,0.14,0.27,0.27,0.69,0.82,7.27,0.0,0.82,female
4.89,0.21,0.0,0.21,0.85,0.43,1.06,0.64,0.64,3.83,0.21,0.0,0.21,2.55,0.0,0.21,0.43,2.34,0.0,0.0,0.0,0.64,0.43,0.85,0.21,0.0,0.21,0.21,0.21,0.21,0.43,0.21,0.43,1.06,0.0,2.13,0.21,0.21,0.0,0.0,2.13,0.0,0.64,0.64,0.0,0.0,0.0,6.17,0.0,0.43,female
4.33,0.46,0.62,1.39,0.62,0.46,0.15,0.31,0.31,3.1,0.0,0.15,0.31,1.08,0.77,0.0,0.31,1.86,0.46,0.15,0.46,0.31,0.15,0.46,0.0,0.0,0.31,0.31,0.46,0.0,0.15,0.15,0.77,0.31,0.0,3.41,1.08,0.15,0.0,0.46,2.48,0.0,1.24,0.31,0.93,0.15,0.0,5.57,0.31,1.55,female
0.49,0.0,0.0,0.98,1.95,0.98,0.49,0.49,0.0,0.98,0.0,0.49,0.0,0.0,0.0,0.0,0.0,2.44,0.0,0.0,0.49,0.98,0.0,1.46,1.46,0.0,1.46,0.49,0.49,0.0,0.49,0.0,0.98,0.0,0.0,1.95,0.98,0.49,0.0,1.46,1.95,0.0,0.98,0.49,1.95,0.49,0.0,7.8,0.0,0.0,female
2.16,0.0,0.15,1.7,0.93,0.31,0.77,0.31,0.31,2.62,0.31,0.0,0.77,0.93,0.15,0.46,0.31,3.7,0.46,0.15,0.62,1.08,0.62,0.62,0.31,0.0,1.54,0.0,0.46,0.46,0.15,0.0,0.31,0.31,0.15,2.01,1.39,0.15,0.0,0.0,1.23,0.31,0.31,0.15,0.46,0.15,0.0,6.17,0.0,0.31,male
2.99,0.2,0.0,1.0,2.59,0.4,0.8,0.6,0.4,1.2,0.2,0.4,0.2,1.39,0.0,0.0,0.4,3.39,0.4,0.0,0.2,0.8,0.4,0.2,0.6,0.0,1.2,0.6,0.0,0.6,0.2,0.4,0.0,0.8,0.0,2.39,0.4,0.2,0.4,0.2,1.99,0.2,0.4,0.4,2.59,0.0,0.2,4.58,0.0,0.4,male
2.54,0.23,0.46,0.0,1.15,0.46,0.69,0.46,0.0,0.92,0.46,0.23,0.46,1.15,0.0,0.92,1.39,1.39,0.23,0.92,0.92,1.15,0.0,0.46,0.23,1.15,0.46,0.0,0.23,0.23,0.23,0.46,0.46,1.62,0.92,2.77,1.15,0.23,0.46,1.39,2.08,0.23,0.46,0.69,2.54,0.69,0.23,3.46,1.15,0.23,male
2.44,0.0,0.0,1.46,0.61,0.37,0.49,0.49,0.61,2.31,0.0,0.0,0.0,1.1,0.49,0.24,0.49,3.53,0.37,0.12,0.61,1.22,0.12,0.37,0.0,0.49,1.46,0.49,0.49,0.12,0.73,0.37,0.49,1.22,1.95,1.71,0.49,0.12,0.0,0.0,3.17,0.24,0.49,0.37,0.85,0.12,0.12,5.6,0.0,0.24,male
2.29,0.13,0.13,0.54,0.0,0.0,0.67,0.81,0.4,3.1,0.0,0.13,0.27,1.75,0.13,0.4,0.13,1.62,0.13,0.0,0.13,1.21,0.54,0.4,0.67,0.94,0.94,0.13,0.67,0.81,0.54,0.27,0.67,0.13,1.48,2.29,1.89,0.27,0.13,0.0,2.02,0.13,0.54,0.81,0.81,0.27,0.13,3.64,0.0,0.54,male
3.1,0.34,0.52,1.55,0.52,0.52,0.34,0.52,0.69,1.21,0.0,0.0,0.52,1.21,0.0,0.17,0.17,2.93,0.52,0.52,0.0,0.0,0.17,0.69,0.34,0.0,0.69,0.17,0.69,0.0,0.69,0.34,0.86,1.21,0.0,1.55,0.34,0.34,0.0,1.03,3.28,0.0,0.0,0.69,1.38,0.0,0.0,7.59,0.17,0.52,female
3.38,0.44,0.48,1.1,2.11,0.35,0.57,0.13,0.48,1.62,0.18,0.35,0.18,0.57,0.4,0.35,0.0,2.59,0.26,1.45,0.22,1.14,0.53,0.26,0.48,0.22,0.75,0.04,0.79,0.31,0.26,0.4,0.92,0.09,0.48,2.68,0.92,0.44,0.44,3.34,1.89,0.26,0.13,0.75,1.36,0.92,0.48,3.12,1.27,0.7,male
2.43,0.26,0.0,0.51,0.51,1.02,0.26,0.51,0.26,3.45,0.13,0.0,0.89,1.66,0.38,0.26,0.38,0.89,0.77,0.0,0.26,1.92,0.26,0.13,0.0,0.64,1.02,0.13,0.13,0.26,0.38,0.64,0.51,1.53,0.0,1.4,0.64,0.0,0.0,0.13,3.96,0.0,0.0,0.77,1.66,0.13,0.0,5.62,0.0,0.26,male
1.56,0.52,0.0,0.78,0.78,0.0,0.52,1.3,0.26,2.6,0.52,0.78,0.26,0.26,0.0,0.0,0.26,3.39,0.0,0.52,0.26,0.78,0.52,0.26,0.0,0.0,1.56,1.04,0.52,0.0,0.26,0.26,0.52,0.0,0.0,2.6,1.56,0.52,0.78,3.13,2.86,0.26,0.26,0.52,0.52,0.78,0.52,4.69,1.04,0.26,female
1.63,0.54,0.95,1.09,1.77,0.41,0.95,0.27,0.54,1.91,0.95,0.27,0.54,0.68,0.27,0.27,0.27,2.86,0.41,1.63,0.68,0.14,0.27,0.54,0.0,0.27,0.95,0.14,0.54,0.14,0.41,0.68,0.41,0.14,0.27,3.27,1.36,0.14,0.0,0.27,1.91,0.27,1.09,0.27,1.23,0.41,0.41,7.08,0.14,0.68,female
2.46,0.35,0.7,0.88,3.51,0.35,1.23,0.0,0.7,1.05,0.35,0.18,1.05,0.53,0.53,0.53,0.35,2.81,0.0,0.18,1.4,0.18,0.53,0.88,0.35,0.0,1.58,0.0,0.53,0.18,0.53,0.18,0.7,0.18,0.0,2.28,1.75,0.7,0.18,0.18,2.28,0.0,0.7,0.35,0.18,0.53,0.53,4.91,0.0,0.35,female
1.02,0.17,0.17,0.68,0.68,0.09,0.77,0.43,0.34,0.94,0.34,0.17,0.34,0.77,0.17,0.09,0.17,1.87,0.09,0.26,0.09,0.51,0.09,0.26,0.09,0.68,1.79,0.85,0.34,0.09,0.34,0.34,0.85,0.6,2.04,2.38,0.77,0.6,0.6,1.02,1.79,0.26,0.09,0.26,1.96,0.43,1.87,4.17,0.17,0.26,female
2.1,0.1,0.4,1.1,1.4,0.5,0.7,0.2,0.7,1.8,0.1,0.4,0.4,0.7,0.1,0.2,0.1,2.2,0.0,0.9,0.0,0.4,0.4,0.3,0.4,0.9,1.7,0.1,0.5,0.5,0.3,0.2,1.2,0.5,0.8,3.2,1.3,0.2,0.2,0.1,1.4,0.3,0.5,0.1,1.0,0.1,0.7,4.9,0.0,1.5,female
2.65,0.35,0.35,0.81,0.35,0.46,0.12,0.58,1.04,1.38,0.12,0.35,0.35,0.92,0.46,0.23,0.0,4.61,0.69,1.5,0.23,0.0,0.12,1.5,0.12,0.12,0.35,0.35,0.58,0.35,0.58,0.23,1.61,0.23,0.0,2.07,1.73,0.23,0.12,0.69,1.73,0.35,1.38,0.46,1.04,0.23,0.0,5.76,0.23,1.15,female
3.03,0.64,0.16,1.12,1.12,0.32,0.96,0.16,0.96,1.28,0.16,0.16,0.32,0.48,0.8,0.32,0.0,4.78,0.32,0.0,0.0,0.32,0.16,1.59,0.16,0.16,1.28,0.48,0.32,0.64,0.8,0.16,0.8,0.48,0.16,1.75,0.96,0.64,0.0,1.91,2.87,0.32,0.48,0.16,0.0,0.16,0.16,6.7,0.8,0.8,female
2.4,0.55,0.11,1.09,2.18,0.11,0.33,0.55,0.76,1.64,0.11,0.44,0.55,0.55,0.55,0.55,0.76,3.27,0.0,0.65,0.33,0.65,0.11,0.33,2.84,0.11,1.74,0.33,0.76,0.55,0.22,0.33,0.76,0.22,0.11,2.4,0.44,0.33,0.44,1.74,2.29,0.11,0.0,1.2,1.53,0.33,0.65,4.03,0.33,1.2,male
0.89,0.22,0.22,2.66,1.33,0.44,0.22,0.89,0.22,1.77,0.0,0.44,0.67,1.11,0.44,0.22,0.22,3.33,0.0,0.22,0.22,0.67,0.0,1.33,0.67,0.22,1.33,0.22,0.67,0.22,0.89,0.22,0.89,0.44,0.44,0.89,0.22,0.22,0.0,1.77,3.1,0.0,0.22,0.89,0.22,0.44,0.0,5.1,0.44,0.22,female
1.7,0.21,0.21,2.77,0.85,0.21,0.64,0.85,0.64,1.49,0.0,0.0,0.43,1.28,0.64,0.43,0.64,4.04,0.43,0.0,1.28,0.0,0.43,2.13,0.21,0.0,1.91,0.85,0.85,0.64,0.64,0.43,0.0,0.0,0.43,2.34,0.43,0.0,0.0,0.21,1.91,0.21,0.0,1.06,0.21,0.21,0.0,6.81,0.0,1.28,female
2.2,0.52,0.39,0.39,1.81,0.91,0.39,0.39,0.0,2.07,0.13,0.26,0.13,0.26,0.13,0.13,0.0,1.94,0.39,0.26,0.0,1.3,0.13,0.26,0.52,0.39,1.3,0.39,0.52,0.52,0.39,0.26,0.78,0.39,1.17,3.37,0.39,0.26,0.39,2.07,2.85,0.26,0.0,0.13,0.91,0.26,0.52,5.44,0.52,0.26,male
2.32,0.0,0.14,0.27,0.55,0.27,0.82,1.09,0.0,2.19,0.0,0.14,0.55,0.55,0.14,0.82,0.14,1.23,0.0,0.0,0.14,0.55,0.0,0.14,0.96,0.68,0.27,0.27,0.27,0.41,0.0,0.41,1.09,0.27,0.82,3.83,0.55,0.14,0.27,2.19,1.78,0.27,0.0,0.14,1.23,0.27,0.14,3.55,1.5,0.0,male
2.84,0.17,0.34,1.03,0.86,0.09,0.78,0.43,0.69,1.38,0.34,0.17,0.52,1.29,0.34,0.26,0.09,2.33,0.09,0.69,0.09,0.52,0.0,0.34,0.34,0.78,0.86,0.52,0.52,0.34,0.52,0.43,0.86,0.17,0.78,2.24,1.03,0.17,0.34,0.09,2.33,0.43,0.26,0.52,1.47,0.34,0.52,4.22,0.0,0.17,female
2.34,0.0,0.13,0.91,1.56,0.26,0.65,0.52,0.39,1.95,0.0,0.52,0.39,0.26,0.26,0.39,0.13,2.34,0.0,0.0,0.0,1.56,0.26,0.39,0.26,0.52,1.17,0.39,0.52,0.13,0.52,0.13,1.3,1.04,0.26,2.6,0.26,0.0,0.0,0.52,3.51,0.0,0.39,0.52,1.3,0.52,0.39,6.49,0.0,0.13,male
