% 1. Title: Gender Text Database 
@RELATION genderText

@ATTRIBUTE	all	NUMERIC
@ATTRIBUTE	just	NUMERIC
@ATTRIBUTE	over	NUMERIC
@ATTRIBUTE	years	NUMERIC
@ATTRIBUTE	its	NUMERIC
@ATTRIBUTE	how	NUMERIC
@ATTRIBUTE	had	NUMERIC
@ATTRIBUTE	to	NUMERIC
@ATTRIBUTE	has	NUMERIC
@ATTRIBUTE	then	NUMERIC
@ATTRIBUTE	them	NUMERIC
@ATTRIBUTE	his	NUMERIC
@ATTRIBUTE	get	NUMERIC
@ATTRIBUTE	breast	NUMERIC
@ATTRIBUTE	they	NUMERIC
@ATTRIBUTE	not	NUMERIC
@ATTRIBUTE	now	NUMERIC
@ATTRIBUTE	like	NUMERIC
@ATTRIBUTE	did	NUMERIC
@ATTRIBUTE	t	NUMERIC
@ATTRIBUTE	where	NUMERIC
@ATTRIBUTE	because	NUMERIC
@ATTRIBUTE	says	NUMERIC
@ATTRIBUTE	people	NUMERIC
@ATTRIBUTE	some	NUMERIC
@ATTRIBUTE	back	NUMERIC
@ATTRIBUTE	are	NUMERIC
@ATTRIBUTE	year	NUMERIC
@ATTRIBUTE	our	NUMERIC
@ATTRIBUTE	really	NUMERIC
@ATTRIBUTE	what	NUMERIC
@ATTRIBUTE	said	NUMERIC
@ATTRIBUTE	for	NUMERIC
@ATTRIBUTE	re	NUMERIC
@ATTRIBUTE	new	NUMERIC
@ATTRIBUTE	she	NUMERIC
@ATTRIBUTE	be	NUMERIC
@ATTRIBUTE	we	NUMERIC
@ATTRIBUTE	after	NUMERIC
@ATTRIBUTE	by	NUMERIC
@ATTRIBUTE	on	NUMERIC
@ATTRIBUTE	about	NUMERIC
@ATTRIBUTE	her	NUMERIC
@ATTRIBUTE	of	NUMERIC
@ATTRIBUTE	s	NUMERIC
@ATTRIBUTE	or	NUMERIC
@ATTRIBUTE	first	NUMERIC
@ATTRIBUTE	cancer	NUMERIC
@ATTRIBUTE	into	NUMERIC
@ATTRIBUTE	one	NUMERIC
@ATTRIBUTE	your	NUMERIC
@ATTRIBUTE	from	NUMERIC
@ATTRIBUTE	would	NUMERIC
@ATTRIBUTE	there	NUMERIC
@ATTRIBUTE	two	NUMERIC
@ATTRIBUTE	been	NUMERIC
@ATTRIBUTE	their	NUMERIC
@ATTRIBUTE	much	NUMERIC
@ATTRIBUTE	music	NUMERIC
@ATTRIBUTE	was	NUMERIC
@ATTRIBUTE	more	NUMERIC
@ATTRIBUTE	that	NUMERIC
@ATTRIBUTE	but	NUMERIC
@ATTRIBUTE	with	NUMERIC
@ATTRIBUTE	than	NUMERIC
@ATTRIBUTE	he	NUMERIC
@ATTRIBUTE	me	NUMERIC
@ATTRIBUTE	this	NUMERIC
@ATTRIBUTE	up	NUMERIC
@ATTRIBUTE	will	NUMERIC
@ATTRIBUTE	can	NUMERIC
@ATTRIBUTE	were	NUMERIC
@ATTRIBUTE	my	NUMERIC
@ATTRIBUTE	and	NUMERIC
@ATTRIBUTE	ve	NUMERIC
@ATTRIBUTE	do	NUMERIC
@ATTRIBUTE	is	NUMERIC
@ATTRIBUTE	it	NUMERIC
@ATTRIBUTE	an	NUMERIC
@ATTRIBUTE	as	NUMERIC
@ATTRIBUTE	good	NUMERIC
@ATTRIBUTE	at	NUMERIC
@ATTRIBUTE	have	NUMERIC
@ATTRIBUTE	in	NUMERIC
@ATTRIBUTE	if	NUMERIC
@ATTRIBUTE	no	NUMERIC
@ATTRIBUTE	when	NUMERIC
@ATTRIBUTE	also	NUMERIC
@ATTRIBUTE	other	NUMERIC
@ATTRIBUTE	which	NUMERIC
@ATTRIBUTE	you	NUMERIC
@ATTRIBUTE	out	NUMERIC
@ATTRIBUTE	who	NUMERIC
@ATTRIBUTE	a	NUMERIC
@ATTRIBUTE	i	NUMERIC
@ATTRIBUTE	many	NUMERIC
@ATTRIBUTE	m	NUMERIC
@ATTRIBUTE	so	NUMERIC
@ATTRIBUTE	time	NUMERIC
@ATTRIBUTE	the	NUMERIC
@ATTRIBUTE	gender	{male,female}

@DATA
0.36,0.0,0.0,0.36,0.36,0.18,0.0,2.14,0.0,0.0,0.18,0.0,0.0,1.07,0.18,0.71,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.0,0.53,0.36,0.0,0.0,0.18,0.18,2.14,0.0,0.0,0.0,2.49,0.36,0.0,0.18,0.36,0.0,0.0,2.67,0.36,0.0,0.0,1.6,0.18,0.53,0.0,0.53,1.78,0.89,0.36,0.18,0.18,0.0,0.0,0.36,0.36,1.42,0.53,0.18,0.36,0.0,0.18,0.71,0.36,0.36,0.36,0.53,0.0,3.02,0.0,0.18,1.42,1.07,0.36,0.53,0.18,0.53,0.53,2.49,0.18,0.18,0.0,0.36,0.0,0.71,0.71,0.0,0.53,1.25,0.36,0.0,0.0,0.0,0.36,6.05,female
0.49,0.33,0.16,0.0,0.16,0.16,0.0,2.29,0.16,0.0,0.0,0.0,0.16,0.0,0.98,0.49,0.16,0.16,0.16,0.98,0.49,0.16,0.0,0.0,0.16,0.16,0.82,0.33,0.0,0.33,0.65,0.0,0.98,0.49,0.0,0.0,0.49,0.33,0.33,0.16,1.8,0.49,0.0,2.94,1.31,0.49,0.0,0.0,0.16,0.16,0.0,0.33,0.33,0.16,0.33,0.33,0.16,0.49,0.0,0.49,0.33,1.8,0.33,0.65,0.0,0.0,0.0,0.16,0.33,0.33,0.16,0.33,0.0,2.45,0.0,0.0,0.33,0.49,0.33,0.82,0.0,0.82,0.49,1.47,0.82,0.0,0.33,0.0,0.16,0.0,1.63,0.65,0.16,2.61,0.0,0.33,0.0,0.16,0.0,6.86,female
0.13,0.0,0.13,0.26,0.0,0.0,0.13,3.02,0.26,0.26,0.0,0.13,0.13,0.0,0.92,0.26,0.26,0.66,0.13,0.66,0.0,0.13,1.18,0.13,0.13,0.66,0.0,0.13,0.26,0.0,0.39,0.66,0.92,0.0,0.53,0.26,0.92,0.39,0.26,0.0,0.53,0.13,0.0,2.63,1.05,0.26,0.13,0.0,0.0,0.53,0.13,0.66,0.0,0.39,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.79,1.05,0.26,0.13,0.66,0.26,0.53,0.26,0.26,0.26,0.66,0.66,1.31,0.0,0.13,0.66,1.18,0.53,0.26,0.0,1.05,0.13,1.45,0.26,0.0,0.26,0.0,0.26,0.39,0.53,0.53,0.39,2.5,3.42,0.13,0.53,0.13,0.53,4.47,male
0.48,0.24,0.0,0.0,0.0,0.24,0.24,3.33,0.24,0.0,0.24,0.0,0.0,1.43,0.48,0.95,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.95,0.24,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,1.66,0.48,0.24,0.95,0.48,0.48,0.0,2.38,0.0,0.24,0.0,0.71,0.0,0.24,0.0,0.0,0.0,0.0,0.71,0.24,0.24,0.0,0.0,0.48,0.71,0.71,0.95,0.71,0.0,0.0,0.0,1.66,0.0,0.24,0.48,0.71,0.0,3.09,0.0,0.24,0.95,0.48,0.24,0.95,0.0,0.24,0.71,1.19,0.48,0.0,0.24,0.24,0.0,1.43,0.0,0.24,0.24,2.38,0.24,0.24,0.0,0.24,0.71,7.13,female
0.0,0.0,0.2,0.0,0.41,0.0,0.41,1.62,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.61,0.2,0.0,0.0,0.0,0.0,0.61,0.81,0.0,0.41,0.0,0.0,0.0,0.2,0.0,1.22,0.0,0.0,0.41,0.81,0.0,0.0,0.41,0.2,0.2,1.22,2.64,0.2,0.81,0.0,0.61,0.2,0.0,0.61,0.2,0.0,0.41,0.2,0.0,0.41,0.0,0.0,0.2,0.0,1.22,0.81,0.61,0.0,0.0,0.2,0.2,0.41,0.41,0.41,0.2,0.0,2.03,0.0,0.41,1.83,0.81,0.2,0.81,0.2,0.41,0.61,1.42,0.0,0.2,0.0,0.0,0.41,0.61,0.41,0.41,0.41,2.23,0.41,0.2,0.0,0.41,0.0,6.69,female
0.36,0.0,0.0,0.0,0.71,0.0,0.0,1.42,0.36,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.18,0.0,0.18,0.18,0.0,0.0,0.0,0.0,0.18,0.36,0.0,0.0,0.18,0.18,1.6,0.0,0.36,0.53,0.53,0.18,0.0,0.53,0.89,0.18,0.36,1.78,2.31,0.0,0.0,0.0,0.18,0.0,0.0,0.18,0.36,0.0,0.0,0.18,0.36,0.0,0.0,0.89,0.0,0.53,0.36,0.0,0.0,0.18,0.0,0.36,0.18,0.71,0.18,0.53,0.53,2.31,0.0,0.0,0.53,0.0,0.53,0.36,0.18,0.36,0.36,2.66,0.36,0.0,0.89,0.36,0.18,0.18,0.0,0.18,0.53,1.6,0.53,0.0,0.0,0.18,0.0,6.57,male
0.91,0.21,0.0,0.14,0.14,0.42,0.07,3.51,0.14,0.21,0.21,0.07,0.35,0.0,0.7,0.0,0.14,0.21,0.28,0.21,0.28,0.0,0.0,0.35,0.14,0.14,0.63,0.07,0.84,0.28,0.84,0.0,0.98,1.12,0.07,0.0,0.63,2.32,0.21,0.49,0.84,0.35,0.0,1.82,0.98,0.14,0.42,0.0,0.14,0.21,0.42,0.98,0.0,0.21,0.0,0.35,0.42,0.14,1.26,0.28,0.07,0.84,0.35,0.7,0.07,0.07,0.14,0.49,0.21,0.21,0.21,0.07,0.07,2.46,0.21,0.21,0.56,1.4,0.49,0.91,0.0,0.63,0.7,2.04,0.21,0.14,0.42,0.14,0.14,0.28,1.05,0.7,0.56,2.6,1.82,0.0,0.14,0.63,0.14,4.56,male
0.29,0.19,0.0,0.0,0.1,0.0,0.29,3.77,0.48,0.0,0.29,0.1,0.0,0.0,1.06,0.87,0.19,0.0,0.0,0.0,0.0,0.39,0.0,0.29,0.0,0.19,0.39,0.1,0.77,0.0,0.1,1.45,0.87,0.0,0.48,0.39,1.45,0.19,0.1,0.19,1.45,0.19,0.1,1.64,0.68,0.1,0.0,0.0,0.1,0.29,0.0,0.77,0.87,0.29,0.0,0.29,1.45,0.0,0.0,0.68,0.1,1.74,0.58,0.68,0.0,0.48,0.0,0.39,0.0,0.19,0.29,0.39,0.0,1.55,0.0,0.29,0.97,0.87,0.68,0.19,0.0,0.19,0.68,3.29,0.48,0.19,0.1,0.19,0.0,0.1,0.19,0.0,0.48,2.03,0.0,0.1,0.0,0.1,0.1,5.12,male
0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.99,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.0,3.48,1.99,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.5,1.0,0.5,1.49,0.0,0.0,0.0,0.5,1.49,0.0,0.5,0.0,0.0,1.99,0.0,0.0,0.5,1.0,0.5,1.49,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.0,0.0,0.5,0.0,7.96,female
0.13,0.0,0.13,0.0,0.0,0.13,1.0,2.01,0.0,0.63,0.0,1.76,0.13,0.0,0.13,0.0,0.13,0.0,0.0,0.13,0.38,0.0,0.0,0.13,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.13,1.13,0.0,0.0,0.0,0.0,1.63,0.25,0.13,1.13,0.25,0.38,1.63,1.0,0.0,0.13,0.0,0.63,0.38,0.5,0.75,0.0,0.0,0.13,0.0,0.25,0.0,0.0,1.38,0.0,0.88,0.0,0.63,0.0,1.0,0.13,0.25,0.25,0.0,0.0,0.38,0.38,2.63,0.0,0.0,0.0,0.5,0.13,0.63,0.0,0.63,0.0,1.88,0.13,0.0,0.63,0.0,0.0,0.25,0.25,0.25,0.38,3.01,1.88,0.13,0.0,0.25,0.13,5.52,male
0.49,0.0,0.0,0.79,0.0,0.1,0.0,3.44,0.0,0.1,0.0,0.0,0.29,0.0,0.2,0.79,0.39,0.29,0.0,0.59,0.1,0.0,0.1,0.39,0.2,0.1,0.79,0.0,0.1,0.0,0.59,0.0,1.57,0.39,0.2,0.0,1.18,0.59,0.1,0.39,1.18,0.1,0.0,1.97,1.28,0.49,0.1,0.0,0.1,0.29,0.88,0.2,0.2,0.69,0.0,0.29,0.29,0.59,0.1,0.0,0.79,1.57,0.79,0.79,0.49,0.0,0.0,0.49,0.2,0.49,0.69,0.1,0.0,3.34,0.29,0.49,0.98,1.47,0.39,0.39,0.29,0.39,0.49,2.06,0.69,0.0,0.39,0.2,0.0,0.2,2.36,0.2,0.1,3.15,0.2,0.1,0.1,0.29,0.2,5.11,female
0.3,0.0,0.1,0.9,0.3,0.1,1.0,2.31,0.3,0.0,0.0,0.1,0.0,2.11,0.0,0.7,0.4,0.0,0.2,0.0,0.1,0.1,0.0,0.1,0.3,0.1,0.6,0.1,0.0,0.0,0.1,0.0,1.2,0.0,0.0,0.8,0.6,0.2,0.2,0.4,0.3,0.4,1.2,2.71,0.5,0.5,0.1,2.21,0.1,0.6,0.0,0.5,0.6,0.5,0.0,0.5,0.2,0.0,0.0,1.0,0.1,1.51,0.5,1.2,0.3,0.2,0.1,0.2,0.2,0.3,0.2,0.1,0.3,3.41,0.0,0.0,1.31,0.6,0.1,0.2,0.0,0.6,0.9,1.71,0.1,0.4,0.4,0.1,0.0,0.1,0.0,0.0,0.6,1.71,0.6,0.1,0.0,0.3,0.3,7.53,female
0.4,1.2,0.4,0.0,0.0,0.4,0.0,3.19,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.8,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.8,0.0,0.0,0.4,1.2,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.4,0.0,1.2,0.4,0.0,3.19,0.8,0.0,0.0,0.0,0.4,0.0,0.4,0.4,0.0,0.4,0.0,0.0,0.4,0.0,0.0,1.2,0.0,1.59,1.59,0.0,0.0,0.0,0.8,1.99,0.0,0.8,0.4,0.0,0.8,1.2,0.0,0.0,0.8,2.79,0.0,0.4,0.0,0.4,0.4,0.4,0.0,0.8,0.0,0.0,0.0,0.0,1.59,0.0,0.4,1.2,3.19,0.0,0.0,0.0,1.2,5.18,female
0.25,0.37,0.12,0.12,0.12,0.25,0.12,1.87,0.0,0.12,0.12,0.12,0.0,0.0,0.5,0.0,0.12,0.25,0.12,0.5,0.0,0.12,0.25,1.37,0.0,0.0,0.37,0.5,0.62,0.0,0.37,0.12,0.37,0.0,0.12,0.25,0.12,0.25,0.25,0.87,1.62,0.37,0.62,2.11,0.5,0.0,0.25,0.0,0.25,0.12,0.0,0.5,0.0,0.0,0.25,0.0,0.12,0.0,0.0,0.5,0.25,1.0,0.5,1.49,0.25,0.5,0.0,0.12,0.12,0.25,0.25,0.37,0.0,3.48,0.0,0.5,0.5,0.25,0.87,0.75,0.0,0.12,0.12,2.24,0.0,0.12,0.37,0.0,0.12,0.12,0.25,0.12,0.75,3.11,0.37,0.0,0.0,0.0,0.0,5.22,male
